date,stock_id,buy,name,sell,net
2026-03-26,2890,10024734,Foreign_Investor,10946671,-921937.0
2026-03-26,5521,0,Dealer_Hedging,0,0.0
2026-03-26,5483,136539,Dealer_Hedging,59906,76633.0
2026-03-26,2903,0,Investment_Trust,9000,-9000.0
2026-03-26,5269,0,Foreign_Dealer_Self,0,0.0
2026-03-26,5269,0,Investment_Trust,1016,-1016.0
2026-03-26,5269,0,Dealer_self,0,0.0
2026-03-26,5269,19441,Dealer_Hedging,11904,7537.0
2026-03-26,2903,0,Dealer_Hedging,0,0.0
2026-03-26,2903,10000,Dealer_self,0,10000.0
2026-03-26,2903,0,Foreign_Dealer_Self,0,0.0
2026-03-26,5347,7196050,Foreign_Investor,11252318,-4056268.0
2026-03-26,2903,233000,Foreign_Investor,203000,30000.0
2026-03-26,5274,0,Foreign_Dealer_Self,0,0.0
2026-03-26,5274,25000,Investment_Trust,1115,23885.0
2026-03-26,5274,2293,Dealer_self,3000,-707.0
2026-03-26,5274,5696,Dealer_Hedging,2754,2942.0
2026-03-26,5274,197847,Foreign_Investor,195935,1912.0
2026-03-26,5483,100320,Dealer_self,110000,-9680.0
2026-03-26,5512,167000,Foreign_Investor,148000,19000.0
2026-03-26,5009,53909,Dealer_Hedging,38692,15217.0
2026-03-26,2890,110664,Dealer_Hedging,220827,-110163.0
2026-03-26,5521,533000,Foreign_Investor,817000,-284000.0
2026-03-26,5521,0,Foreign_Dealer_Self,0,0.0
2026-03-26,5521,0,Investment_Trust,0,0.0
2026-03-26,5521,5000,Dealer_self,15925,-10925.0
2026-03-26,5347,0,Foreign_Dealer_Self,0,0.0
2026-03-26,3711,12363975,Foreign_Investor,10072067,2291908.0
2026-03-26,2923,0,Foreign_Dealer_Self,0,0.0
2026-03-26,4175,0,Foreign_Dealer_Self,0,0.0
2026-03-26,2923,11000,Dealer_self,0,11000.0
2026-03-26,4171,0,Dealer_self,1000,-1000.0
2026-03-26,4142,0,Dealer_Hedging,0,0.0
2026-03-26,4142,0,Investment_Trust,0,0.0
2026-03-26,4160,8000,Foreign_Investor,11000,-3000.0
2026-03-26,4133,1000,Dealer_self,0,1000.0
2026-03-26,4130,0,Investment_Trust,0,0.0
2026-03-26,4130,0,Dealer_self,20000,-20000.0
2026-03-26,4130,51,Dealer_Hedging,6010,-5959.0
2026-03-26,4133,16000,Foreign_Investor,22000,-6000.0
2026-03-26,4133,0,Foreign_Dealer_Self,0,0.0
2026-03-26,4133,0,Investment_Trust,0,0.0
2026-03-26,4133,0,Dealer_Hedging,0,0.0
2026-03-26,4142,0,Foreign_Dealer_Self,0,0.0
2026-03-26,3008,17487,Dealer_Hedging,17080,407.0
2026-03-26,3008,2000,Dealer_self,0,2000.0
2026-03-26,3008,0,Investment_Trust,48041,-48041.0
2026-03-26,3008,0,Foreign_Dealer_Self,0,0.0
2026-03-26,3008,292211,Foreign_Investor,191400,100811.0
2026-03-26,4142,694000,Foreign_Investor,216000,478000.0
2026-03-26,2923,14000,Foreign_Investor,22000,-8000.0
2026-03-26,4160,0,Foreign_Dealer_Self,0,0.0
2026-03-26,4130,271000,Foreign_Investor,116001,154999.0
2026-03-26,4174,0,Investment_Trust,0,0.0
2026-03-26,4171,0,Foreign_Dealer_Self,0,0.0
2026-03-26,4148,0,Dealer_Hedging,0,0.0
2026-03-26,4171,0,Investment_Trust,0,0.0
2026-03-26,2351,18000,Dealer_self,75151,-57151.0
2026-03-26,2923,0,Dealer_Hedging,0,0.0
2026-03-26,3044,680560,Foreign_Investor,1066050,-385490.0
2026-03-26,2062,2000,Dealer_self,0,2000.0
2026-03-26,2351,16230,Dealer_Hedging,104797,-88567.0
2026-03-26,2353,9799161,Foreign_Investor,2662000,7137161.0
2026-03-26,2353,0,Foreign_Dealer_Self,0,0.0
2026-03-26,2353,1000,Investment_Trust,27032,-26032.0
2026-03-26,2353,187000,Dealer_self,2000,185000.0
2026-03-26,2063,0,Dealer_self,0,0.0
2026-03-26,2063,0,Investment_Trust,0,0.0
2026-03-26,2063,0,Foreign_Dealer_Self,0,0.0
2026-03-26,2063,0,Foreign_Investor,1000,-1000.0
2026-03-26,2062,0,Dealer_Hedging,0,0.0
2026-03-26,2364,0,Foreign_Dealer_Self,0,0.0
