date,stock_id,HoldingSharesLevel,people,percent,unit
2026-04-30,3607,"15,001-20,000",260,4.0,4876356
2026-04-30,3607,"10,001-15,000",338,3.66,4459115
2026-04-30,3607,"1,000-5,000",5716,10.45,12715395
2026-04-30,3711,"800,001-1,000,000",68,1.35,60782047
2026-04-30,3607,1-999,37964,0.11,138503
2026-04-30,3711,1-999,144433,0.46,20871042
2026-04-30,3711,"1,000-5,000",68595,2.83,126652938
2026-04-30,3711,"5,001-10,000",7133,1.17,52591451
2026-04-30,3711,"10,001-15,000",2185,0.6,27205127
2026-04-30,3711,"15,001-20,000",1188,0.47,21195817
2026-04-30,3711,"20,001-30,000",1048,0.58,26140228
2026-04-30,3711,"30,001-40,000",491,0.38,17158987
2026-04-30,3711,"40,001-50,000",320,0.32,14558414
2026-04-30,3711,"50,001-100,000",691,1.09,48796928
2026-04-30,3711,"100,001-200,000",461,1.44,64769217
2026-04-30,4106,"800,001-1,000,000",1,0.81,820530
2026-04-30,3594,"5,001-10,000",554,4.6,4418347
2026-04-30,4106,"400,001-600,000",7,3.39,3425058
2026-04-30,4106,"200,001-400,000",18,4.8,4844026
2026-04-30,3577,"10,001-15,000",76,1.47,943710
2026-04-30,3707,"200,001-400,000",28,1.82,7218622
2026-04-30,4106,"600,001-800,000",0,0.0,0
2026-04-30,3609,"10,001-15,000",80,2.73,1050936
2026-04-30,3711,差異數調整（說明4）,0,0.0,0
2026-04-30,3609,"20,001-30,000",45,3.01,1159005
2026-04-30,3609,"30,001-40,000",28,2.59,997000
2026-04-30,3609,"40,001-50,000",15,1.81,696000
2026-04-30,3609,"50,001-100,000",39,7.4,2846000
2026-04-30,3609,"200,001-400,000",16,11.6,4460201
2026-04-30,3577,1-999,1108,0.28,185492
2026-04-30,3609,"400,001-600,000",11,14.39,5531351
2026-04-30,3609,"600,001-800,000",1,1.97,760000
2026-04-30,3609,"800,001-1,000,000",2,4.21,1621000
2026-04-30,3707,"100,001-200,000",94,3.18,12614681
2026-04-30,3609,"more than 1,000,001",3,28.34,10890635
2026-04-30,3706,1-999,79492,1.02,13551803
2026-04-30,3609,差異數調整（說明4）,0,0.0,0
2026-04-30,3609,"100,001-200,000",28,10.62,4083970
2026-04-30,3609,"1,000-5,000",976,5.24,2013858
2026-04-30,4106,1-999,8333,1.52,1539419
2026-04-30,4106,"1,000-5,000",7204,14.14,14274043
2026-04-30,4106,"5,001-10,000",875,6.84,6911623
2026-04-30,4106,"10,001-15,000",235,3.02,3052812
2026-04-30,4106,"15,001-20,000",157,2.89,2920429
2026-04-30,4106,"20,001-30,000",127,3.24,3271937
2026-04-30,4106,"30,001-40,000",60,2.15,2171054
2026-04-30,4106,"40,001-50,000",49,2.25,2273321
2026-04-30,4106,"50,001-100,000",62,4.16,4202155
2026-04-30,4106,"100,001-200,000",32,4.68,4729953
2026-04-30,3609,total,7526,100.0,38419387
2026-04-30,3360,"5,001-10,000",1100,10.94,8359215
2026-04-30,3710,"100,001-200,000",203,10.0,28748909
2026-04-30,3710,"400,001-600,000",28,4.68,13454914
2026-04-30,3533,"400,001-600,000",25,11.05,12439185
2026-04-30,3533,"600,001-800,000",8,5.02,5652223
2026-04-30,3533,"800,001-1,000,000",4,3.22,3625136
2026-04-30,3533,"more than 1,000,001",14,42.08,47357361
2026-04-30,3533,total,15430,100.0,112534691
2026-04-30,3533,差異數調整（說明4）,0,0.0,0
2026-04-30,3715,差異數調整（說明4）,0,0.0,0
2026-04-30,3715,total,99902,100.0,283574584
2026-04-30,3715,"more than 1,000,001",29,27.13,76934902
2026-04-30,3715,"800,001-1,000,000",6,1.91,5422193
2026-04-30,3715,"600,001-800,000",11,2.7,7673305
2026-04-30,3715,"400,001-600,000",19,3.32,9417964
2026-04-30,3715,"200,001-400,000",47,4.63,13154618
2026-04-30,3715,"100,001-200,000",72,3.52,10009757
2026-04-30,3715,"40,001-50,000",100,1.61,4571258
2026-04-30,3548,"40,001-50,000",23,1.57,1064855
2026-04-30,3715,"30,001-40,000",160,2.0,5680230
2026-04-30,3715,"20,001-30,000",347,3.09,8785259
2026-04-30,3715,"15,001-20,000",475,3.05,8668873
2026-04-30,3715,"10,001-15,000",847,3.75,10655982
2026-04-30,3715,"5,001-10,000",3156,8.51,24144113
2026-04-30,3715,"1,000-5,000",46639,28.49,80794545
2026-04-30,3715,1-999,47823,2.09,5941634
2026-04-30,3548,1-999,30389,1.43,973292
2026-04-30,3548,"1,000-5,000",8951,23.05,15615073
2026-04-30,3548,"5,001-10,000",962,9.51,6443998
2026-04-30,3548,"10,001-15,000",313,5.45,3697368
2026-04-30,3548,"15,001-20,000",116,2.93,1986053
2026-04-30,3548,"20,001-30,000",106,3.72,2526494
2026-04-30,3715,"50,001-100,000",171,4.13,11719951
2026-04-30,3548,"50,001-100,000",62,6.06,4108585
2026-04-30,3548,"100,001-200,000",20,3.95,2676998
2026-04-30,3548,"200,001-400,000",17,7.18,4866214
2026-04-30,3664,"600,001-800,000",0,0.0,0
2026-04-30,3714,"800,001-1,000,000",14,1.72,12718050
2026-04-30,3709,"40,001-50,000",25,0.94,1189199
2026-04-30,3714,"more than 1,000,001",60,41.28,304682340
2026-04-30,3714,差異數調整（說明4）,0,0.0,0
2026-04-30,3583,"40,001-50,000",15,0.84,681261
2026-04-30,3712,"40,001-50,000",97,1.82,4490475
2026-04-30,3548,差異數調整（說明4）,0,0.0,0
2026-04-30,3548,total,41019,100.0,67744175
2026-04-30,3548,"more than 1,000,001",8,25.72,17429141
2026-04-30,3548,"800,001-1,000,000",1,1.34,911150
2026-04-30,3548,"600,001-800,000",3,3.0,2038575
2026-04-30,3548,"400,001-600,000",4,2.79,1892903
2026-04-30,3714,"50,001-100,000",618,5.93,43804367
