stock_id,price,pe,eps_ttm,gross_margin,market_cap,updated,revenue_ttm
2312,37.7,36.250004,1.04,6.42,56756789248.0,2026-05-28,157194436608.0
2313,233.0,42.752296,5.45,18.73,279302569984,2026-06-25,78813872128
2314,15.75,,-6.11,2.66,703846976.0,2026-05-28,1813410944.0
2316,168.5,12.602842,13.37,1.55,30571798528.0,2026-05-28,3891454976.0
2317,239.0,17.835821,13.4,6.16,3346459000832,2026-07-15,8578322661376.0
2321,14.95,,-0.76,30.75,447811232.0,2026-05-28,729966016.0
2323,10.15,6.4240503,1.58,24.87,11056885760.0,2026-05-28,7468449792.0
2324,36.15,26.386862,1.37,5.65,153895239680,2026-07-15,759718608896.0
2327,798.0,62.933754,12.68,36.85,1642866933760,2026-07-15,139991973888.0
2328,53.0,33.97436,1.56,11.57,27472353280.0,2026-05-28,20308391936.0
2329,51.4,26.632126,1.93,14.89,33869946880,2026-07-15,20466311168.0
2330,2440.0,33.16569,73.57,61.87,63274980737024,2026-07-15,4103904165888.0
2331,20.2,14.428573,1.4,9.65,11259541504.0,2026-05-28,21560508416.0
2332,23.55,,-0.9,24.89,14053141504,2026-07-15,13471327232.0
2337,148.5,,-1.77,25.04,286475223040,2026-07-15,33211478016.0
2338,55.9,,-4.82,9.44,18281129984.0,2026-05-28,5948823040.0
2340,36.05,,-2.88,-3.1,15785141248,2026-07-15,4313671168.0
2342,42.4,,-0.49,14.87,6679049216.0,2026-05-28,2037211008.0
2344,180.5,207.47127,0.87,43.18,812250038272,2026-07-15,107666620416.0
2345,2340.0,50.064182,46.74,18.13,1307844804608,2026-07-15,275689897984.0
2347,85.7,16.870079,5.08,4.25,142943059968.0,2026-05-28,446113087488.0
2348,76.2,11.14035,6.84,31.66,11562194944,2026-07-15,6943388160.0
2349,13.65,,-0.36,15.38,9468727296.0,2026-05-28,7421142016.0
2351,200.5,123.006134,1.63,14.56,36519071744,2026-07-15,10526262272.0
2352,27.65,43.203125,0.64,16.69,43701002240.0,2026-05-28,209698979840.0
2353,31.05,24.84,1.25,11.02,93342752768,2026-07-15,286713184256.0
2354,56.4,24.415586,2.31,3.82,79776972800,2026-07-15,151339237376.0
2355,61.7,38.80503,1.59,11.39,24525443072.0,2026-05-28,15996263424.0
2356,61.1,25.352695,2.41,5.1,219194720256,2026-07-15,734466473984.0
2357,712.0,11.958347,59.54,14.76,528845307904,2026-07-15,799581274112.0
2358,4.56,,,,691346176.0,2026-05-28,
2359,140.5,114.22764,1.23,23.44,24077627392,2026-07-14,3922349056.0
2360,2570.0,93.25109,27.56,62.15,1088629309440.0,2026-05-28,33305552896.0
2362,41.0,20.09804,2.04,22.39,23697989632.0,2026-05-28,20398604288.0
2363,65.0,42.48366,1.53,28.53,33474230272,2026-07-15,3401472000.0
2364,70.0,16.78657,4.17,40.18,3667279872,2026-07-15,1465513984.0
2365,32.7,102.18751,0.32,41.06,7243981824,2026-07-15,966732992.0
2367,65.8,96.76471,0.68,11.0,46471462912.0,2026-05-28,15806961664.0
2368,1025.0,54.004215,18.98,33.65,518012436480,2026-07-15,67253575680.0
2369,39.75,,-1.05,1.31,14884113408.0,2026-05-28,6037420032.0
2371,28.85,,-5.2,16.95,59028733952.0,2026-05-28,50382868480.0
2373,57.5,14.857882,3.87,45.25,12863079424.0,2026-05-28,10610427904.0
2374,78.6,32.479336,2.42,24.43,26454835200.0,2026-05-28,11071620096.0
2375,161.5,43.41398,3.72,19.29,17551011840.0,2026-05-28,5691462144.0
2376,337.5,19.633507,17.19,10.45,226087501824.0,2026-05-28,376246566912.0
2377,123.5,18.26923,6.76,12.09,104339742720.0,2026-05-28,232912912384.0
2379,753.0,27.663483,27.22,49.48,386185854976,2026-07-15,124106539008.0
2380,5.5,7.6388884,0.72,31.14,329703008.0,2026-05-28,2969149952.0
2382,381.0,20.13742,18.92,6.07,1468571451392,2026-07-15,2447238496256.0
2383,5080.0,109.90913,46.22,29.59,1820270657536,2026-07-15,105647775744.0
2385,132.0,14.781634,8.93,17.46,96055074816.0,2026-05-28,95250366464.0
