date,futures_id,contract_date,open,max,min,close,spread,spread_per,volume,settlement_price,open_interest,trading_session
2026-05-11,MTX,202605/202607,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,position
2026-05-11,MTX,202605/202609,305.0,305.0,305.0,305.0,0.0,0.0,16,0.0,0,position
2026-05-11,MTX,202605/202612,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,position
2026-05-11,MTX,202605/202703,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,position
2026-05-11,MTX,202605W2/202605,203.0,223.0,195.0,201.0,0.0,0.0,24,0.0,0,position
2026-05-11,MTX,202606/202607,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,position
2026-05-11,MTX,202606/202609,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,position
2026-05-11,MTX,202607/202703,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,position
2026-05-12,MTX,202605W2,41762.0,42154.0,41673.0,42110.0,343.0,0.82,65,0.0,0,after_market
2026-05-12,MTX,202605,41982.0,42365.0,41746.0,42270.0,301.0,0.72,133234,0.0,0,after_market
2026-05-12,MTX,202606,42133.0,42479.0,41876.0,42385.0,305.0,0.72,5420,0.0,0,after_market
2026-05-12,MTX,202607,42078.0,42513.0,41927.0,42368.0,254.0,0.6,188,0.0,0,after_market
2026-05-12,MTX,202609,42215.0,42666.0,42078.0,42625.0,367.0,0.87,75,0.0,0,after_market
2026-05-12,MTX,202612,42661.0,43058.0,42500.0,42998.0,309.0,0.72,41,0.0,0,after_market
2026-05-12,MTX,202703,43605.0,43655.0,43605.0,43655.0,373.0,0.86,2,0.0,0,after_market
2026-05-12,MTX,202605/202606,123.0,129.0,114.0,115.0,0.0,0.0,18,0.0,0,after_market
2026-05-12,MTX,202605/202607,155.0,155.0,155.0,155.0,0.0,0.0,2,0.0,0,after_market
2026-05-12,MTX,202605/202609,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,after_market
2026-05-12,MTX,202605/202612,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,after_market
2026-05-12,MTX,202605W2/202605,183.0,204.0,167.0,168.0,0.0,0.0,24,0.0,0,after_market
2026-05-12,MTX,202605W2,42029.0,42108.0,41520.0,41642.0,-125.0,-0.3,108,41560.0,79,position
2026-05-12,MTX,202605,42240.0,42365.0,41605.0,41699.0,-270.0,-0.64,151213,41704.0,29597,position
2026-05-12,MTX,202606,42325.0,42476.0,41726.0,41815.0,-265.0,-0.63,7567,41826.0,6462,position
2026-05-12,MTX,202607,42336.0,42510.0,41782.0,41824.0,-290.0,-0.69,283,41848.0,787,position
2026-05-12,MTX,202609,42543.0,42543.0,42000.0,42000.0,-258.0,-0.61,94,41994.0,1969,position
2026-05-12,MTX,202612,42955.0,43038.0,42387.0,42495.0,-194.0,-0.45,47,42455.0,624,position
2026-05-12,MTX,202703,43200.0,43450.0,43000.0,43000.0,-282.0,-0.65,23,43000.0,228,position
2026-05-12,MTX,202605/202606,114.0,123.0,114.0,123.0,0.0,0.0,6,0.0,0,position
2026-05-12,MTX,202605/202607,139.0,139.0,129.0,129.0,0.0,0.0,5,0.0,0,position
2026-05-12,MTX,202605/202609,305.0,305.0,296.0,298.0,0.0,0.0,13,0.0,0,position
2026-05-12,MTX,202605/202612,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,position
2026-05-12,MTX,202605/202703,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,position
2026-05-12,MTX,202605W2/202605,177.0,177.0,131.0,131.0,0.0,0.0,22,0.0,0,position
2026-05-12,MTX,202606/202703,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,position
2026-05-12,MTX,202607/202703,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,position
2026-05-13,MTX,202605W2,41560.0,41560.0,40731.0,41083.0,-477.0,-1.15,231,0.0,0,after_market
2026-05-13,MTX,202605,41620.0,41690.0,40738.0,41136.0,-568.0,-1.36,200292,0.0,0,after_market
2026-05-13,MTX,202606,41778.0,41810.0,40869.0,41260.0,-566.0,-1.35,12796,0.0,0,after_market
2026-05-13,MTX,202607,41701.0,41806.0,40882.0,41281.0,-567.0,-1.35,432,0.0,0,after_market
2026-05-13,MTX,202609,41987.0,41987.0,41047.0,41459.0,-535.0,-1.27,196,0.0,0,after_market
2026-05-13,MTX,202612,42287.0,42418.0,41500.0,41777.0,-678.0,-1.6,95,0.0,0,after_market
2026-05-13,MTX,202703,42485.0,42547.0,42088.0,42088.0,-912.0,-2.12,7,0.0,0,after_market
2026-05-13,MTX,202605/202606,123.0,128.0,122.0,128.0,0.0,0.0,6,0.0,0,after_market
2026-05-13,MTX,202605/202607,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,after_market
2026-05-13,MTX,202605/202609,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,after_market
2026-05-13,MTX,202605/202612,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,after_market
