date,stock_id,type,value,origin_name
2026-03-31,6533,EPS,-3.28,基本每股盈餘
2026-03-31,6533,Revenue,326356000.0,營業收入
2026-03-31,6547,EPS,-0.09,基本每股盈餘
2026-03-31,6547,Revenue,105932000.0,營業收入
2026-03-31,6643,Revenue,394748000.0,營業收入
2026-03-31,6643,EPS,-1.18,基本每股盈餘
2026-03-31,6669,EPS,75.95,基本每股盈餘
2026-03-31,6669,Revenue,276507734000.0,營業收入
2026-03-31,6770,Revenue,13572462000.0,營業收入
2026-03-31,6770,EPS,3.36,基本每股盈餘
2026-03-31,6789,EPS,1.5,基本每股盈餘
2026-03-31,6789,Revenue,2348443000.0,營業收入
2026-03-31,6803,EPS,4.54,基本每股盈餘
2026-03-31,6803,Revenue,2297738000.0,營業收入
2026-03-31,8044,EPS,-0.39,基本每股盈餘
2026-03-31,8044,Revenue,9588620000.0,營業收入
2026-03-31,8081,EPS,4.62,基本每股盈餘
2026-03-31,8081,Revenue,2111258000.0,營業收入
2026-03-31,8210,EPS,10.73,基本每股盈餘
2026-03-31,8210,Revenue,7107292000.0,營業收入
